Name,Sex
Abbo,M
Achim,M
Adolf,M
Albrecht,M
Alexander,M
Alois,M
Ambros,M
Andreas,M
Anselm,M
Anton,M
Armin,M
Arndt,M
Arno,M
Arnold,M
Arnulf,M
Axel,M
Augustus,M
Axel,M
Benjamin,M
Bernd,M
Bernhard,M
Berthold,M
Botho,M
Bruno,M
Carsten,M
Christian,M
Christof,M
Clemens,M
Conrad,M
Dagobert,M
Detlef,M
Dieter,M
Dietrich,M
Dirk,M
Dolf,M
Dominik,M
Egon,M
Elias,M
Elmar,M
Emil,M
Emmerich,M
Engelbert,M
Erhard,M
Erik,M
Ernst,M
Erwin,M
Eugen,M
Ewald,M
Fabian,M
Falco,M
Felix,M
Ferdinand,M
Florian,M
Franz,M
Friedhelm,M
Friedrich,M
Fritz,M
Gebhard,M
Georg,M
Gerhard,M
Gernot,M
Golo,M
Gottfried,M
Gotthold,M
Gottlieb,M
Gregor,M
Gunther,M
Gustav,M
Hans,M
Harald,M
Hartmut,M
Hartwig,M
Heiner,M
Heinrich,M
Heinz,M
Helge,M
Helmut,M
Herbert,M
Hildebrand,M
Holger,M
Horst,M
Hugbert,M
Hugo,M
Ignatius,M
Ingemar,M
Jan,M
Jens,M
Joachim,M
Johann,M
Johannes,M
Jonas,M
Jorg,M
Jorgen,M
Kai,M
Karl,M
Karlheinz,M
Karsten,M
Kaspar,M
Klaus,M
Knut,M
Konrad,M
Kristian,M
Kristof,M
Kurt,M
Lars,M
Laurenz,M
Lenz,M
Leon,M
Leonhard,M
Leopold,M
Lothar,M
Ludwig,M
Lukas,M
Luther,M
Lutz,M
Manfred,M
Marcel,M
Marko,M
Mario,M
Marius,M
Markus,M
Martin,M
Matthius,M
Matthias,M
Max,M
Maximilian,M
Meinhard,M
Michael,M
Nikolaus,M
Nils,M
Norbert,M
Olof,M
Oskar,M
Oswald,M
Oswin,M
Otto,M
Philipp,M
Poldi,M
Raimund,M
Rainer,M
Ralf,M
Randolf,M
Reinhard,M
Reinhold,M
Rene,M
Richard,M
Rudiger,M
Rudolf,M
Rupert,M
Sabine,M
Sebastian,M
Siegfried,M
Simon,M
Stefan,M
Steffen,M
Sven,M
Theodor,M
Thomas,M
Till,M
Timm,M
Timo,M
Tobias,M
Torsten,M
Udo,M
Ulf,M
Ulrich,M
Urban,M
Urs,M
Uwe,M
Veit,M
Viktor,M
Vinzenz,M
Volkard,M
Volker,M
Waldemar,M
Walther,M
Wendel,M
Wenzel,M
Wernher,M
Wilfried,M
Wilhelm,M
Wolfgang,M
Wolfram,M
Adelheid,F
Agatha,F
Agnes,F
Alexandra,F
Alheid,F
Amalie,F
Andrea,F
Angelika,F
Anja,F
Anka,F
Antje,F
Anna,F
Anneliese,F
Annette,F
Arabella,F
Asta,F
Astrid,F
Barbara,F
Barbel,F
Beate,F
Beatrix,F
Bertha,F
Bertel,F
Bettina,F
Birgitta,F
Brigitte,F
Brunhild,F
Charlotte,F
Christa,F
Christin,F
Christina,F
Claudia,F
Dagmar,F
Daniela,F
Dora,F
Doreen,F
Dorle,F
Dorothea,F
Edda,F
Edeltraud,F
Effi,F
Elfriede,F
Elsi,F
Elke,F
Elsa,F
Emma,F
Erika,F
Ernesta,F
Eugenie,F
Fieke,F
Franziska,F
Frieda,F
Friedelind,F
Friedel,F
Friedhild,F
Fritzi,F
Gabi,F
Gabriele,F
Geli,F
Gerda,F
Gerlinde,F
Gertrud,F
Gisela,F
Gitte,F
Gisela,F
Gretl,F
Guido,F
Gusti,F
Hanne,F
Hannelore,F
Hansi,F
Hedda,F
Hedwig,F
Heide,F
Heidemaria,F
Heidi,F
Heike,F
Helga,F
Helma,F
Henny,F
Hertha,F
Hilda,F
Hildeberta,F
Hildegard,F
Ida,F
Ilka,F
Ilse,F
Ines,F
Inga,F
Ingeborg,F
Ingrid,F
Irma,F
Irmgard,F
Irmhild,F
Irmtraud,F
Isolde,F
Jana,F
Janina,F
Jasmin,F
Johanna,F
Jolanda,F
Julia,F
Juliane,F
Jutte,F
Kai,F
Kamilla,F
Karin,F
Karla,F
Karolin,F
Katharina,F
Katrin,F
Katja,F
Kerstin,F
Kirsten,F
Klara,F
Klaudia,F
Konstanze,F
Kriemhild,F
Kristin,F
Lara,F
Leah,F
Leni,F
Lenora,F
Letta,F
Lise,F
Lieselotte,F
Lilli,F
Lilo,F
Lotti,F
Ludwiga,F
Lulu,F
Magda,F
Magdalena,F
Mandy,F
Manuela,F
Margaretha,F
Margit,F
Marie,F
Marina,F
Marlene,F
Martina,F
Mathilde,F
Maxine,F
Meinhild,F
Melanie,F
Mila,F
Minna,F
Mirjam,F
Mizzi,F
Monika,F
Nadine,F
Nadja,F
Nastasja,F
Natascha,F
Nicole,F
Nina,F
Ninja,F
Ottilie,F
Paula,F
Pauline,F
Petra,F
Pia,F
Renate,F
Resi,F
Ria,F
Romy,F
Rosalinde,F
Rosamunde,F
Roswitha,F
Sabine,F
Sabrina,F
Sandra,F
Sarah,F
Seffi,F
Senta,F
Sieghild,F
Sieglind,F
Sigrid,F
Sigrun,F
Silke,F
Simone,F
Sofie,F
Stephanie,F
Steffi,F
Susanne,F
Tanja,F
Theda,F
Therese,F
Traude,F
Traute,F
Traudel,F
Ulla,F
Ulrike,F
Uschi,F
Ursula,F
Uta,F
Veronika,F
Viktoria,F
Walburga,F
Waltraut,F
Wendelin,F
Wilfrieda,F
Wilhelmina,F
Wilma,F
Winfried,F
Yvonne ,F
